policy_name,episode,step,state,action,next_state,reward,done
v2_double_q_policy,3,7,1,1,2,-0.9119906339554068,False
v2_double_q_policy,3,8,2,0,2,-1.6935590969455514,False
v2_double_q_policy,3,9,2,0,1,-1.6935590969455514,True
v2_double_q_policy,4,0,2,0,3,-1.6935590969455514,False
v2_double_q_policy,4,1,3,1,3,-1.9123681279077385,False
v2_double_q_policy,4,2,3,1,3,-1.9123681279077385,False
v2_double_q_policy,4,3,3,1,2,-1.9123681279077385,False
v2_double_q_policy,4,4,2,0,2,-1.6935590969455514,False
v2_double_q_policy,4,5,2,0,2,-1.6935590969455514,False
v2_double_q_policy,4,6,2,0,2,-1.6935590969455514,False
v2_double_q_policy,4,7,2,0,3,-1.6935590969455514,False
v2_double_q_policy,4,8,3,1,1,-1.9123681279077385,False
v2_double_q_policy,4,9,1,1,1,-0.9119906339554068,True
